exp,listener,isi,delta,response
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,-0.09745149602290473,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,-0.0493587621458705,1.0
exp1,L00,5.0,-0.19240340851815188,1.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,-0.09745149602290473,1.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.025,1.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,-0.0493587621458705,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.025,1.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,-0.09745149602290473,1.0
exp1,L00,5.0,0.025,1.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.0493587621458705,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,0.025,1.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,0.0,1.0
exp1,L00,5.0,0.09745149602290473,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,0.0,1.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.0,1.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,-0.19240340851815188,1.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,-0.025,1.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.0493587621458705,1.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,-0.37987176308408843,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,0.19240340851815188,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.09745149602290473,1.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.0493587621458705,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.19240340851815188,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,0.19240340851815188,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,0.19240340851815188,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.09745149602290473,1.0
exp1,L00,2.0,-0.19240340851815188,1.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,-0.37987176308408843,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.7499999999999996,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,-0.0493587621458705,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.37987176308408843,1.0
exp1,L00,2.0,0.09745149602290473,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.0493587621458705,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.0493587621458705,1.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,-0.0493587621458705,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,0.025,1.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.19240340851815188,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.19240340851815188,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.19240340851815188,1.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,-0.025,0.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.0,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.19240340851815188,0.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,-0.0493587621458705,1.0
exp1,L00,2.0,-0.09745149602290473,0.0
exp1,L00,2.0,0.0493587621458705,0.0
exp1,L00,2.0,0.0,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,0.37987176308408843,1.0
exp1,L00,2.0,-0.7499999999999996,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,2.0,0.025,0.0
exp1,L00,2.0,0.09745149602290473,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.7499999999999996,1.0
exp1,L00,2.0,0.0493587621458705,1.0
exp1,L00,2.0,-0.37987176308408843,0.0
exp1,L00,2.0,-0.0493587621458705,0.0
exp1,L00,2.0,-0.025,1.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.09745149602290473,0.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,-0.025,1.0
exp1,L00,5.0,0.09745149602290473,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,0.19240340851815188,0.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.09745149602290473,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,0.09745149602290473,0.0
exp1,L00,5.0,0.09745149602290473,0.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,0.19240340851815188,0.0
exp1,L00,5.0,0.0,1.0
exp1,L00,5.0,0.37987176308408843,0.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,0.025,1.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,-0.09745149602290473,1.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,-0.025,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,-0.19240340851815188,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,0.0493587621458705,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.19240340851815188,1.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.0,1.0
exp1,L00,5.0,0.0493587621458705,0.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,0.37987176308408843,0.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,-0.19240340851815188,1.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.19240340851815188,0.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,0.19240340851815188,1.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,0.0493587621458705,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,-0.19240340851815188,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,0.19240340851815188,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,-0.025,1.0
exp1,L00,5.0,-0.025,0.0
exp1,L00,5.0,0.37987176308408843,1.0
exp1,L00,5.0,-0.09745149602290473,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,-0.0493587621458705,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,0.0493587621458705,1.0
exp1,L00,5.0,-0.7499999999999996,0.0
exp1,L00,5.0,0.0,0.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.09745149602290473,1.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,-0.0493587621458705,1.0
exp1,L00,5.0,-0.0493587621458705,0.0
exp1,L00,5.0,0.0493587621458705,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,0.025,0.0
exp1,L00,5.0,0.0,1.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,5.0,-0.37987176308408843,0.0
exp1,L00,5.0,0.7499999999999996,1.0
exp1,L00,10.0,-0.025,1.0
exp1,L00,10.0,0.37987176308408843,1.0
exp1,L00,10.0,-0.025,0.0
exp1,L00,10.0,-0.7499999999999996,0.0
exp1,L00,10.0,0.37987176308408843,1.0
exp1,L00,10.0,-0.09745149602290473,0.0
exp1,L00,10.0,0.0,0.0
exp1,L00,10.0,-0.7499999999999996,0.0
exp1,L00,10.0,-0.37987176308408843,0.0
exp1,L00,10.0,0.025,1.0
exp1,L00,10.0,0.19240340851815188,1.0
exp1,L00,10.0,0.09745149602290473,0.0
exp1,L00,10.0,0.025,1.0
exp1,L00,10.0,0.09745149602290473,1.0
exp1,L00,10.0,0.0,1.0
